,image,Q,A
2276,synpic12143,is this a t1 weighted image?,no
2277,synpic13488,was the mri taken with contrast?,no
2278,synpic46240,is this a t1 weighted image?,no
2285,synpic40742,was iv contrast given to the patient?,yes
2288,synpic21330,is this a t2 weighted image?,no
2289,synpic50678,is this a noncontrast mri?,yes
2291,synpic44727,is this a noncontrast mri?,yes
2297,synpic27650,is 	this a t1 weighted image?,yes
2298,synpic54588,is this a t2 weighted image?,no
2299,synpic13430,is this an mri image?,no
2302,synpic57064,is this a t2 weighted image?,no
2306,synpic51056,was the ct scan taken with contrast?,no
2307,synpic26930,is this a t1 weighted image?,no
2308,synpic45923,is this a noncontrast mri?,no
2313,synpic38310,is this a noncontrast ct?,yes
2317,synpic56201,is this a t2 weighted image?,no
2318,synpic26679,was iv contrast given to the patient?,yes
2320,synpic18414,is 	this a t1 weighted image?,yes
2321,synpic16873,is this a noncontrast ct?,no
2323,synpic16200,is this a ct scan?,yes
2324,synpic59382,is this an mri image?,yes
2327,synpic25499,is this a ct scan?,yes
2330,synpic39654,was the ct scan taken with contrast?,no
2331,synpic51610,is this a ct scan?,yes
2333,synpic53066,was the mri taken with contrast?,no
2338,synpic47594,is this a t1 weighted image?,no
2343,synpic40735,is 	this a t1 weighted image?,yes
2349,synpic16225,was iv contrast given to the patient?,yes
2356,synpic32840,is this a t2 weighted image?,no
2357,synpic28026,is this a noncontrast mri?,no
2359,synpic18764,is this a ct scan?,no
2361,synpic16195,is this a ct scan?,yes
2364,synpic40047,is this a noncontrast mri?,yes
2365,synpic47420,is this a noncontrast ct?,no
2366,synpic47528,is this a noncontrast mri?,yes
2370,synpic59843,is this an mri image?,no
2371,synpic17812,is this a noncontrast ct?,no
2372,synpic41800,is this a t1 weighted image?,no
2374,synpic16420,was iv contrast given to the patient?,no
2375,synpic46497,is this an mri image?,no
2377,synpic36936,is this a noncontrast mri?,yes
2378,synpic58981,is 	this a t1 weighted image?,yes
2381,synpic49086,is this an mri image?,no
2383,synpic53259,is this a ct scan?,yes
2386,synpic37078,is this a noncontrast ct?,yes
2387,synpic33272,is this a noncontrast ct?,yes
2390,synpic24718,is 	this a t1 weighted image?,yes
2392,synpic37626,is this an mri image?,yes
2394,synpic16704,is this a noncontrast ct?,no
2398,synpic53776,is 	this a t1 weighted image?,yes
2401,synpic54131,was the mri taken with contrast?,no
2404,synpic41331,is this a noncontrast mri?,yes
2410,synpic49820,is this a t2 weighted image?,no
2411,synpic52018,is this a ct scan?,yes
2419,synpic33517,is this a noncontrast mri?,yes
2423,synpic40903,is this a noncontrast mri?,no
2426,synpic57733,is this a noncontrast mri?,yes
2429,synpic25432,was the ct scan taken with contrast?,no
2431,synpic33373,is this a noncontrast ct?,yes
2434,synpic30717,is this an mri image?,yes
2440,synpic38276,is this a ct scan?,yes
2441,synpic30351,is this an mri image?,no
2442,synpic33990,is this a t1 weighted image?,no
2443,synpic32274,is this a noncontrast ct?,yes
2445,synpic36069,is this a t2 weighted image?,no
2447,synpic38141,is this an mri image?,no
2448,synpic53182,was the ct scan taken with contrast?,no
2449,synpic52090,is this a t1 weighted image?,no
2452,synpic56781,is 	this a t1 weighted image?,yes
2455,synpic53683,is this a noncontrast mri?,no
2460,synpic46857,was the mri taken with contrast?,yes
2467,synpic50966,is 	this a t1 weighted image?,yes
2471,synpic45054,is this an mri image?,yes
2472,synpic61287,was the ct scan taken with contrast?,yes
2473,synpic60629,is this a ct scan?,no
2478,synpic17266,is this a t2 weighted image?,no
2480,synpic36318,is this a ct scan?,yes
2482,synpic48813,is this a ct scan?,yes
2483,synpic43623,was gi contrast given to the patient?,no
2495,synpic52292,was the ct scan taken with contrast?,yes
2500,synpic45121,was iv contrast given to the patient?,yes
2507,synpic51227,is 	this a t1 weighted image?,yes
2511,synpic45393,was the mri taken with contrast?,no
2517,synpic45691,is this a ct scan?,yes
2522,synpic58796,is this a ct scan?,yes
2524,synpic27917,is this a noncontrast ct?,yes
2526,synpic26969,is this a t2 weighted image?,no
2527,synpic21352,is this a t1 weighted image?,no
2529,synpic23178,is this an mri image?,no
2530,synpic39483,was the mri taken with contrast?,yes
2535,synpic47867,is this an mri image?,no
2536,synpic46434,was the ct scan taken with contrast?,yes
2540,synpic55404,is this a ct scan?,yes
2541,synpic45999,is this a ct scan?,yes
2551,synpic27377,was gi contrast given to the patient?,no
2554,synpic40823,is this an mri image?,yes
2555,synpic38293,was the ct scan taken with contrast?,no
2556,synpic51544,is this a ct scan?,yes
2558,synpic39976,is this a ct scan?,yes
2560,synpic27244,is this a ct scan?,yes
2565,synpic16565,is this a noncontrast ct?,no
2575,synpic55261,was iv contrast given to the patient?,yes
2577,synpic36990,was gi contrast given to the patient?,no
2581,synpic18311,is this a noncontrast mri?,yes
2586,synpic46520,is this a noncontrast mri?,no
2588,synpic29459,is this an mri image?,yes
2592,synpic51912,is this a ct scan?,no
2600,synpic56854,is this an mri image?,no
2601,synpic50667,is this a t2 weighted image?,no
2612,synpic46878,is this a t1 weighted image?,no
2618,synpic54074,was iv contrast given to the patient?,yes
2619,synpic17898,is this a t1 weighted image?,no
2631,synpic30376,is this an mri image?,yes
2637,synpic59924,was the ct scan taken with contrast?,no
2641,synpic37621,was the ct scan taken with contrast?,yes
2645,synpic47938,is this a ct scan?,yes
2646,synpic47707,is this a ct scan?,yes
2653,synpic51229,is this a ct scan?,no
2655,synpic45897,is this a t2 weighted image?,no
2660,synpic35961,was iv contrast given to the patient?,yes
2661,synpic16073,was gi contrast given to the patient?,no
2664,synpic21861,is this a noncontrast ct?,yes
2665,synpic56739,is this a noncontrast mri?,no
2669,synpic21860,is this an mri image?,no
2670,synpic49068,is this a ct scan?,no
2674,synpic58194,is this an mri image?,no
2676,synpic26932,is this a t2 weighted image?,no
2677,synpic58014,is this a noncontrast mri?,no
2679,synpic31687,was iv contrast given to the patient?,yes
2682,synpic40485,is this an mri image?,yes
2684,synpic29916,was the ct scan taken with contrast?,no
2685,synpic42059,is 	this a t1 weighted image?,yes
2687,synpic27064,is this an mri image?,no
2689,synpic22835,is this a noncontrast ct?,no
2693,synpic27462,is this a t1 weighted image?,no
2695,synpic40413,is 	this a t1 weighted image?,yes
2698,synpic23065,is this a ct scan?,yes
2701,synpic38626,is this a t2 weighted image?,no
2702,synpic54068,is this a ct scan?,yes
2703,synpic56758,is this an mri image?,no
2704,synpic55974,is 	this a t1 weighted image?,yes
2707,synpic17931,is this a ct scan?,yes
2711,synpic38630,was the ct scan taken with contrast?,yes
2713,synpic42118,is this a t1 weighted image?,no
2718,synpic46650,is this an mri image?,no
2722,synpic56412,is this a noncontrast ct?,no
2723,synpic55208,is this a noncontrast ct?,yes
2724,synpic29032,is this a noncontrast mri?,no
2728,synpic15591,is this an mri image?,yes
2734,synpic45165,is this a t2 weighted image?,no
2735,synpic30495,is this a t2 weighted image?,no
2737,synpic35705,is this an mri image?,no
2738,synpic48506,is this a noncontrast ct?,no
2739,synpic23289,was gi contrast given to the patient?,no
2740,synpic34541,is 	this a t1 weighted image?,yes
2745,synpic42212,was iv contrast given to the patient?,yes
2747,synpic55498,was the ct scan taken with contrast?,no
2749,synpic38450,is this a ct scan?,yes
2752,synpic56199,is this a t2 weighted image?,no
2754,synpic17310,is this a t1 weighted image?,no
2757,synpic49959,is 	this a t1 weighted image?,yes
2759,synpic40836,is 	this a t1 weighted image?,yes
2760,synpic19338,is this a ct scan?,yes
2761,synpic44991,is this a noncontrast ct?,yes
2765,synpic26908,is this a ct scan?,no
2767,synpic37430,is this a t2 weighted image?,no
2770,synpic51293,is 	this a t1 weighted image?,yes
2775,synpic56406,was the mri taken with contrast?,yes
2777,synpic40521,is this an mri image?,no
2778,synpic45705,is this a t2 weighted image?,no
2779,synpic38218,is this a noncontrast mri?,no
2780,synpic30742,is this a ct scan?,yes
2783,synpic29220,was iv contrast given to the patient?,yes
2785,synpic26535,is this a ct scan?,yes
2786,synpic38841,is this a ct scan?,yes
2787,synpic50846,was the mri taken with contrast?,no
2789,synpic21431,was the ct scan taken with contrast?,no
2790,synpic21633,is this a ct scan?,no
2804,synpic54954,is this an mri image?,no
2805,synpic41335,is this a ct scan?,yes
2809,synpic52906,is this an mri image?,yes
2814,synpic30734,is this a ct scan?,yes
2815,synpic22011,is this a noncontrast ct?,no
2817,synpic24628,is this a t2 weighted image?,no
2820,synpic55589,is this a noncontrast mri?,no
2823,synpic28097,is this a t2 weighted image?,no
2826,synpic39028,is this an mri image?,yes
2828,synpic19533,was iv contrast given to the patient?,yes
2832,synpic52440,is this a t1 weighted image?,no
2836,synpic14954,was iv contrast given to the patient?,yes
2838,synpic25373,was the ct scan taken with contrast?,yes
2840,synpic55717,was the ct scan taken with contrast?,no
2841,synpic40065,is this an mri image?,no
2842,synpic46430,is this a ct scan?,no
2846,synpic30326,was gi contrast given to the patient?,no
2850,synpic40924,is this a t1 weighted image?,no
2853,synpic36246,is this a ct scan?,yes
2854,synpic23773,is this a t1 weighted image?,no
2855,synpic52967,is this a ct scan?,yes
2860,synpic55041,is this a noncontrast mri?,no
2861,synpic31660,is this a ct scan?,yes
2863,synpic20531,is this a noncontrast ct?,no
2864,synpic44440,is this a ct scan?,yes
2868,synpic54991,is this a ct scan?,yes
2870,synpic59929,is this a ct scan?,yes
2873,synpic48571,is this an mri image?,no
2877,synpic24454,was iv contrast given to the patient?,yes
2878,synpic55563,is this a noncontrast ct?,yes
2883,synpic56396,is this a t2 weighted image?,no
2886,synpic31716,is this a noncontrast ct?,no
2891,synpic29147,is this a noncontrast ct?,no
2896,synpic26818,is this an mri image?,yes
2898,synpic16429,is this a t2 weighted image?,no
2899,synpic48717,was the ct scan taken with contrast?,no
2902,synpic41873,is this a t1 weighted image?,no
2904,synpic50025,is this a noncontrast mri?,yes
2907,synpic59658,is this a ct scan?,yes
2915,synpic55541,is this an mri image?,no
2918,synpic30468,was the ct scan taken with contrast?,no
2919,synpic56988,was the mri taken with contrast?,yes
2920,synpic41692,is this an mri image?,yes
2921,synpic55711,is this a t2 weighted image?,no
2922,synpic32726,is this a noncontrast ct?,no
2923,synpic38503,was gi contrast given to the patient?,no
2924,synpic56278,was iv contrast given to the patient?,yes
2926,synpic25021,is this a noncontrast ct?,no
2927,synpic53239,is this a ct scan?,yes
2928,synpic50342,is this a ct scan?,yes
2935,synpic45778,is this a ct scan?,yes
2937,synpic31506,is this a ct scan?,yes
2938,synpic46657,is this a t1 weighted image?,no
2939,synpic41139,is this a ct scan?,yes
2940,synpic39021,is this a t2 weighted image?,no
2942,synpic46752,is this an mri image?,yes
2944,synpic21727,was the ct scan taken with contrast?,no
2946,synpic47559,is this a noncontrast ct?,yes
2948,synpic27620,was the ct scan taken with contrast?,yes
2956,synpic39725,is 	this a t1 weighted image?,yes
2959,synpic35369,is this an mri image?,yes
2960,synpic21793,is this a t2 weighted image?,no
2961,synpic60628,is 	this a t1 weighted image?,yes
2963,synpic38936,is this a noncontrast mri?,no
2964,synpic53237,was the ct scan taken with contrast?,no
2967,synpic36193,is this a noncontrast ct?,yes
2968,synpic45975,is this a t2 weighted image?,no
2969,synpic46709,is this an mri image?,no
2982,synpic41492,is this a t2 weighted image?,no
2983,synpic20353,is this a noncontrast ct?,yes
2986,synpic28492,is this an mri image?,no
2987,synpic36777,was the mri taken with contrast?,yes
2992,synpic35347,is this a noncontrast mri?,yes
3003,synpic31357,is this a ct scan?,yes
3006,synpic53173,was the ct scan taken with contrast?,no
3008,synpic59019,is this a ct scan?,no
3009,synpic48298,was the ct scan taken with contrast?,no
3011,synpic55710,is 	this a t1 weighted image?,yes
3014,synpic41291,is this a t2 weighted image?,no
3015,synpic52495,is this a t1 weighted image?,no
3019,synpic27303,is this a ct scan?,no
3022,synpic36071,is this a t1 weighted image?,no
3023,synpic43056,is this a ct scan?,yes
3026,synpic49125,is this a noncontrast ct?,yes
3028,synpic57413,is this a noncontrast mri?,yes
3029,synpic58453,is this a t2 weighted image?,no
3031,synpic16198,was iv contrast given to the patient?,no
3033,synpic23294,is this a noncontrast mri?,yes
3040,synpic37886,was the ct scan taken with contrast?,yes
3043,synpic47973,is this an mri image?,no
3044,synpic50387,was gi contrast given to the patient?,no
3046,synpic52115,was the mri taken with contrast?,no
3047,synpic53335,was the mri taken with contrast?,yes
3048,synpic56783,is this a t2 weighted image?,no
3054,synpic24348,is this a noncontrast ct?,yes
3060,synpic39078,is this a t2 weighted image?,no
3066,synpic51569,is this a ct scan?,no
3069,synpic57259,is this an mri image?,no
3081,synpic28895,is this a ct scan?,no
3083,synpic31831,is this a t1 weighted image?,no
3084,synpic32276,is this a noncontrast ct?,yes
3085,synpic34214,is this a t1 weighted image?,no
3086,synpic36702,is this an mri image?,no
3087,synpic37562,was gi contrast given to the patient?,no
3088,synpic37874,is this a noncontrast mri?,yes
3090,synpic40892,is this a ct scan?,no
3092,synpic41294,is this an mri image?,yes
3095,synpic42080,was the mri taken with contrast?,no
3098,synpic47044,is 	this a t1 weighted image?,yes
3100,synpic49514,is this a noncontrast mri?,no
3102,synpic51078,was the mri taken with contrast?,yes
3104,synpic53046,is this a t1 weighted image?,no
3109,synpic58471,is this an mri image?,yes
3110,synpic59533,was the mri taken with contrast?,yes
3112,synpic35690,is this a noncontrast mri?,yes
3114,synpic16121,is this a ct scan?,yes
3123,synpic35676,is 	this a t1 weighted image?,yes
3126,synpic35695,is this a t2 weighted image?,no
3127,synpic21779,is this a noncontrast ct?,yes
3131,synpic48035,was the ct scan taken with contrast?,no
3132,synpic48039,is this an mri image?,no
3135,synpic16120,is this a noncontrast ct?,yes
3136,synpic16122,is this a ct scan?,yes
3148,synpic35673,is this an mri image?,yes
3150,synpic35688,is this a ct scan?,no
3152,synpic17687,is this a t2 weighted image?,no
3169,synpic35667,is this a noncontrast mri?,yes
3171,synpic35671,is 	this a t1 weighted image?,yes
3172,synpic35674,is 	this a t1 weighted image?,yes
3173,synpic35699,is this a t2 weighted image?,no
3174,synpic39180,was iv contrast given to the patient?,no
3178,synpic54892,is this a t2 weighted image?,no
3179,synpic54898,was the mri taken with contrast?,no
3191,synpic26843,is this a ct scan?,no
3192,synpic28827,is 	this a t1 weighted image?,yes
3195,synpic35685,is this a t2 weighted image?,no
3196,synpic35687,is this a t2 weighted image?,no
3198,synpic48036,is this a noncontrast ct?,yes
3199,synpic54897,is this a ct scan?,no
9734,synpic57969,does this image look normal?,no
9800,synpic47344,is the mri normal?,no
9804,synpic51715,is the mri normal?,no
10080,synpic51641,is there something wrong in the image?,yes
10125,synpic35181,is this a normal mri?,no
10611,synpic50808,is there something wrong in the image?,yes
10717,synpic59257,are there abnormalities in this mri?,yes
10932,synpic43656,is there something wrong in the image?,yes
11102,synpic42219,is there evidence of any abnormalities?,yes
11180,synpic61066,are there abnormalities in this mri?,yes
11541,synpic51871,is this image normal?,no
11841,synpic26311,does this image look normal?,no
11852,synpic36499,is the x-ray normal?,yes
11880,synpic36495,does this image look normal?,yes
12027,synpic17207,does this image look normal?,no
12036,synpic36390,are there abnormalities in this ct scan?,yes
12335,synpic30495,is this image normal?,no
12344,synpic19751,is there an abnormality in the mri?,yes
12430,synpic18134,is there an abnormality in the x-ray?,yes
12596,synpic36494,are there abnormalities in this x-ray?,no
12628,synpic58453,is there evidence of any abnormalities?,no
12641,synpic36489,is this a normal x-ray?,yes
12703,synpic25793,are there abnormalities in this mammograph?,no
12704,synpic35690,is this a normal mri?,yes
12705,synpic54544,is there something wrong in the image?,no
12706,synpic16121,are there abnormalities in this ct scan?,no
12707,synpic24026,does this image look normal?,yes
12708,synpic25074,is this a normal x-ray?,yes
12709,synpic25639,is this image normal?,yes
12710,synpic25642,is there an abnormality in the x-ray?,no
12711,synpic25654,is this image normal?,yes
12712,synpic25660,is there an abnormality in the x-ray?,no
12713,synpic26283,is there evidence of any abnormalities?,no
12714,synpic28398,does this image look normal?,yes
12715,synpic35676,is the mri normal?,yes
12716,synpic35679,is there an abnormality in the mri?,no
12717,synpic35692,is this a normal mri?,yes
12718,synpic35695,is the mri normal?,yes
12720,synpic41953,are there abnormalities in this gastrointestinal image?,no
12721,synpic41954,are there abnormalities in this gastrointestinal image?,no
12722,synpic41956,is there evidence of any abnormalities?,no
12723,synpic48035,is there an abnormality in the ct scan?,no
12724,synpic48039,is the ct scan normal?,yes
12725,synpic54541,is the nuclear medicine image normal?,yes
12726,synpic54894,is there evidence of any abnormalities?,no
12727,synpic16120,is there an abnormality in the ct scan?,no
12728,synpic16122,is this a normal ct scan?,yes
12729,synpic18103,is this a normal angiogram?,yes
12730,synpic18105,is this a normal angiogram?,yes
12731,synpic18106,does this image look normal?,yes
12732,synpic25635,is there an abnormality in the x-ray?,no
12733,synpic25652,is there an abnormality in the x-ray?,no
12734,synpic25657,does this image look normal?,yes
12735,synpic25749,are there abnormalities in this x-ray?,no
12736,synpic25798,is the gastrointestinal image normal?,yes
12737,synpic26844,is there something wrong in the image?,no
12738,synpic35670,does this image look normal?,yes
12739,synpic35672,does this image look normal?,yes
12740,synpic35673,does this image look normal?,yes
12741,synpic35680,does this image look normal?,yes
12742,synpic35688,does this image look normal?,yes
12743,synpic54895,is this a normal mri?,yes
12744,synpic17687,is this a normal mri?,yes
12745,synpic18668,is there something wrong in the image?,no
12746,synpic18670,are there abnormalities in this ultrasound?,no
12747,synpic24025,is this a normal ultrasound?,yes
12748,synpic25073,does this image look normal?,yes
12749,synpic25619,does this image look normal?,yes
12750,synpic25631,is there an abnormality in the x-ray?,no
12751,synpic25640,is this a normal x-ray?,yes
12752,synpic25655,is the x-ray normal?,yes
12753,synpic25787,is there evidence of any abnormalities?,no
12754,synpic25796,is there something wrong in the image?,no
12755,synpic26416,is this image normal?,yes
12756,synpic26845,is this image normal?,yes
12757,synpic26846,is there something wrong in the image?,no
12758,synpic33350,is there something wrong in the image?,no
12759,synpic34660,is there an abnormality in the x-ray?,no
12760,synpic34662,is there evidence of any abnormalities?,no
12761,synpic35667,is the mri normal?,yes
12762,synpic35668,is the mri normal?,yes
12763,synpic35671,is there something wrong in the image?,no
12764,synpic35674,is this a normal mri?,yes
12765,synpic35699,are there abnormalities in this mri?,no
12766,synpic39180,is the ct scan normal?,yes
12767,synpic41951,is there something wrong in the image?,no
12768,synpic41952,is this a normal gastrointestinal image?,yes
12769,synpic54543,does this image look normal?,yes
12770,synpic54892,are there abnormalities in this mri?,no
12771,synpic54898,is there evidence of any abnormalities?,no
12772,synpic4288,is there an abnormality in the ct scan?,no
12773,synpic18104,is this image normal?,yes
12774,synpic18667,is there evidence of any abnormalities?,no
12775,synpic18669,is this a normal ultrasound?,yes
12776,synpic18671,does this image look normal?,yes
12777,synpic18672,is this image normal?,yes
12778,synpic25649,are there abnormalities in this x-ray?,no
12779,synpic25650,is the x-ray normal?,yes
12780,synpic25662,does this image look normal?,yes
12781,synpic25797,does this image look normal?,yes
12782,synpic26841,is this image normal?,yes
12783,synpic26843,is this a normal mri?,yes
12784,synpic28827,is there something wrong in the image?,no
12785,synpic34659,is this image normal?,yes
12786,synpic34661,does this image look normal?,yes
12787,synpic35685,is this image normal?,yes
12788,synpic35687,is there something wrong in the image?,no
12789,synpic35701,is there evidence of any abnormalities?,no
12790,synpic48036,is the ct scan normal?,yes
12791,synpic54897,is there an abnormality in the mri?,no
